"scenario","epistemic_condition","action","hadTo","mean","moralityMean","normalityMean","probabilityMean","modalDistance","moralDistance","probDistance","normDistance"
"scenario 9","ignorance","call the park rangers",77.5,72.9365079365079,79.7142857142857,73.5238095238095,65.5714285714286,0.6639,0.6894,0.6221,0.662
"scenario 9","ignorance","hide behind some bushes",62.0588235294118,68.6274509803922,70,69,66.8823529411765,0.6966,0.763,0.6128,0.7015
"scenario 9","ignorance","make loud noises",48.8095238095238,58.2051282051282,66.3846153846154,56.3846153846154,51.8461538461538,0.7715,0.7876,0.7238,0.781
"scenario 9","ignorance","pretend to be dead",39.2857142857143,38.4666666666667,45,36.95,33.45,0.8673,0.8655,0.8212,0.8562
"scenario 9","ignorance","start to dance",11.6315789473684,9.84444444444445,15.7333333333333,7.26666666666667,6.53333333333333,0.9477,0.9324,0.9476,0.9402
"scenario 9","ignorance","use a loud whistle",34.5,64.8333333333333,73.25,62.1875,59.0625,0.7325,0.731,0.6915,0.751
"scenario 9","knowledge","call the park rangers",61.9523809523809,78.1111111111111,83.0833333333333,78.3333333333333,72.9166666666667,0.5194,0.626,0.4626,0.5615
"scenario 9","knowledge","hide behind some bushes",57,76.1764705882353,80.4705882352941,80.7647058823529,67.2941176470588,0.5421,0.6475,0.5189,0.5372
"scenario 9","knowledge","make loud noises",44.3846153846154,58.1269841269841,63.4761904761905,54.3333333333333,56.5714285714286,0.728,0.7528,0.6111,0.7431
"scenario 9","knowledge","pretend to be dead",28.45,49.1190476190476,57.7142857142857,44.5,45.1428571428571,0.8142,0.7781,0.7457,0.8062
"scenario 9","knowledge","start to dance",12.6666666666667,14.5789473684211,25.5789473684211,7.63157894736842,10.5263157894737,0.9521,0.926,0.9349,0.9569
"scenario 9","knowledge","use a loud whistle",48.75,65.6851851851852,76,64.0555555555556,57,0.6627,0.681,0.6077,0.6787
