StartDate,EndDate,Status,Progress,Duration (in seconds),Finished,RecordedDate,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,DistributionChannel,UserLanguage,s1kn_hadto_1,s1kn_rating_1,s1kn_rating_2,s1kn_rating_3,s1ig_hadto_1,s1ig_rating_1,s1ig_rating_2,s1ig_rating_3,s2kn_hadto_1,s2kn_rating_1,s2kn_rating_2,s2kn_rating_3,s2ig_hadto_1,s2ig_rating_1,s2ig_rating_2,s2ig_rating_3,s3kn_hadto_1,s3kn_rating_1,s3kn_rating_2,s3kn_rating_3,s3ig_hadto_1,s3ig_rating_1,s3ig_rating_2,s3ig_rating_3,s4kn_hadto_1,s4kn_rating_1,s4kn_rating_2,s4kn_rating_3,s4ig_hadto_1,s4ig_rating_1,s4ig_rating_2,s4ig_rating_3,s5kn_hadto_1,s5kn_rating_1,s5kn_rating_2,s5kn_rating_3,s5ig_hadto_1,s5ig_rating_1,s5ig_rating_2,s5ig_rating_3,s6kn_hadto_1,s6kn_rating_1,s6kn_rating_2,s6kn_rating_3,s6ig_hadto_1,s6ig_rating_1,s6ig_rating_2,s6ig_rating_3,s7kn_hadto_1,s7kn_rating_1,s7kn_rating_2,s7kn_rating_3,s7ig_hadto_1,s7ig_rating_1,s7ig_rating_2,s7ig_rating_3,s8kn_hadto_1,s8kn_rating_1,s8kn_rating_2,s8kn_rating_3,s8ig_hadto_1,s8ig_rating_1,s8ig_rating_2,s8ig_rating_3,s9kn_hadto_1,s9kn_rating_1,s9kn_rating_2,s9kn_rating_3,s9ig_hadto_1,s9ig_rating_1,s9ig_rating_2,s9ig_rating_3,s10kn_hadto_1,s10kn_rating_1,s10kn_rating_2,s10kn_rating_3,s10ig_hadto_1,s10ig_rating_1,s10ig_rating_2,s10ig_rating_3,s11kn_hadto_1,s11kn_rating_1,s11kn_rating_2,s11kn_rating_3,s11ig_hadto_1,s11ig_rating_1,s11ig_rating_2,s11ig_rating_3,s12kn_hadto_1,s12kn_rating_1,s12kn_rating_2,s12kn_rating_3,s12ig_hadto_1,s12ig_rating_1,s12ig_rating_2,s12ig_rating_3,s13kn_hadto_1,s13kn_rating_1,s13kn_rating_2,s13kn_rating_3,s13ig_hadto_1,s13ig_rating_1,s13ig_rating_2,s13ig_rating_3,s14kn_hadto_1,s14kn_rating_1,s14kn_rating_2,s14kn_rating_3,s14ig_hadto_1,s14ig_rating_1,s14ig_rating_2,s14ig_rating_3,s15kn_hadto_1,s15kn_rating_1,s15kn_rating_2,s15kn_rating_3,s15ig_hadto_1,s15ig_rating_1,s15ig_rating_2,s15ig_rating_3,s16kn_hadto_1,s16kn_rating_1,s16kn_rating_2,s16kn_rating_3,s16ig_hadto_1,s16ig_rating_1,s16ig_rating_2,s16ig_rating_3,age ,age _1_TEXT,gender ,ethnicity ,ethnicity _10_TEXT,feedback ,S1A,S2A,S3A,S4A,S5A,S6A,S7A,S8A,S9A,S10A,S11A,S12A,S13A,S14A,S15A,S16A
12/23/24 16:44,12/23/24 16:47,IP Address,100,232,TRUE,12/23/24 16:47,,,,,anonymous,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,51,0,,,,,0,9,41,7,,,,,100,100,100,100,,,,,,,,,,,,,0,83,0,30,,,,,,,,,,,,,,,,,41,61,69,67,0,0,0,0,,,,,,,,,,,,,,,,,0,21,0,22,,,,,20,62,83,77,My age in years is,53,Male,Caucasian/White,,I know my wife would yell at me if I got my arm stuck like in that vignette,,,,,,stare intently and try to read his mind,take her to his house but no further,check that the doors are locked,,yell at Todd for getting stuck,,call a locksmith,rob a bank,,just conclude that it's the restaurant owner's own fault,take the kids to the restaurant
12/23/24 16:42,12/23/24 16:47,IP Address,100,336,TRUE,12/23/24 16:47,,,,,anonymous,EN,,,,,,,,,50,100,100,100,,,,,,,,,5,52,49,100,,,,,,,,,,,,,,,,,,,,,3,100,100,100,3,50,50,51,,,,,,,,,1,1,2,1,,,,,,,,,1,1,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,100,100,100,2,50,50,6,,,,,My age in years is,50,Female,Caucasian/White,,,,wait at her car in case her friend is looking for her,try to buy a ticket off another person,,,keep an eye on him,turn invisible,slash the tires,,get her arm stuck in solidarity,,,,,check for ignition devices,lie to her boyfriend that she forgot about the dinner and has made alternative plans
12/23/24 16:29,12/23/24 16:47,IP Address,100,1134,TRUE,12/23/24 16:48,,,,,anonymous,EN,,,,,,,,,30,30,17,42,,,,,100,28,18,8,,,,,0,0,0,0,,,,,,,,,,,,,,,,,32,63,73,57,66,27,80,64,,,,,,,,,71,5,0,0,,,,,,,,,,,,,,,,,,,,,100,91,100,95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28,29,37,23,My age in years is,35,Female,Hispanic/Latinx,,,,text her friend to wait for her,pretend that they are family members of the band to get into the venue,serve engine fuel to the passengers,,wave to the parents,call her a cab,pour water on the car to cool it,,,call others for help,,,,,agree to babysit Ben's kids and be late to the dinner
12/23/24 16:42,12/23/24 16:48,IP Address,100,368,TRUE,12/23/24 16:48,,,,,anonymous,EN,,,,,,,,,,,,,,,,,0,98,0,0,,,,,100,100,100,100,,,,,,,,,,,,,,,,,100,51,100,53,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,0,95,0,78,,,,,100,100,100,100,97,100,95,0,,,,,100,100,100,96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,My age in years is,56,Male,Asian,,,,,try to find the backstage entrance,organize a few fishing crews to go out on their own,,call the police,,,start to dance,yell at Todd for getting stuck,call others for help,find other people to help him ram the door,ask people to donate the remaining money,,,
12/23/24 16:41,12/23/24 16:48,IP Address,100,407,TRUE,12/23/24 16:48,,,,,anonymous,EN,,,,,,,,,,,,,,,,,,,,,19,28,48,28,,,,,,,,,,,,,23,23,57,39,,,,,,,,,74,40,67,29,,,,,,,,,,,,,60,66,78,13,,,,,,,,,,,,,,,,,43,32,58,37,25,47,24,39,,,,,,,,,,,,,,,,,49,31,49,21,,,,,48,30,59,33,,,,,,,,,My age in years is,32,Male,Black/African,,,,,bribe the security,,try to find enough dry wood to start a fire,,refuse to drive her,,pretend to be dead,,kidnap Maria,slide some dog treats underneath the door,,set the plane on autopilot and jump off with a parachute,identify the location in the building where the fire started,
12/23/24 16:44,12/23/24 16:48,IP Address,100,220,TRUE,12/23/24 16:48,,,,,anonymous,EN,,,,,,,,,,,,,,,,,,,,,,,,,51,51,93,72,,,,,,,,,,,,,,,,,,,,,,,,,0,91,100,100,,,,,,,,,100,81,95,97,,,,,,,,,87,87,100,100,,,,,,,,,,,,,0,0,29,0,0,0,0,0,,,,,,,,,,,,,100,100,100,100,,,,,,,,,0,79,100,100,My age in years is,43,Female,Multiethnic,,,,,,organize a few fishing crews to go out on their own,,,refuse to drive her,,hide behind some bushes,give Todd her water,,find other people to help him ram the door,lie to people that the tickets are for a charity event for children in need,,talk to witnesses,take the kids to the restaurant
12/23/24 16:42,12/23/24 16:48,IP Address,100,382,TRUE,12/23/24 16:48,,,,,anonymous,EN,0,9,15,0,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,0,5,1,0,,,,,0,19,39,12,,,,,0,0,0,0,,,,,65,66,91,54,,,,,,,,,,,,,,,,,,,,,My age in years is,64,Male,Caucasian/White,,,take a public bus,,,serve engine fuel to the passengers,throw away all of the food,,,,make loud noises,,kidnap Maria,slide some dog treats underneath the door,sell his wedding ring to earn the remaining amount,just start to descend and hope to land on water,,
12/23/24 16:46,12/23/24 16:48,IP Address,100,151,TRUE,12/23/24 16:48,,,,,anonymous,EN,,,,,,,,,0,38,0,0,,,,,,,,,57,73,58,61,,,,,,,,,89,100,100,100,,,,,,,,,,,,,0,5,2,2,,,,,,,,,,,,,100,100,100,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,10,0,0,,,,,,,,,98,53,86,87,,,,,,,,,,,,,91,61,47,48,My age in years is,31,Female,Asian,,,,steal the wallet of someone else,try to buy a ticket off another person,,try to find enough dry wood to start a fire,,take her to his house but no further,,hide behind some bushes,,,,rob a bank,turn the plane around,,ask her boyfriend to help her babysit
12/23/24 16:36,12/23/24 16:48,IP Address,100,726,TRUE,12/23/24 16:48,,,,,anonymous,EN,,,,,,,,,,,,,9,29,0,0,,,,,35,66,44,68,,,,,,,,,99,95,100,95,,,,,100,100,100,100,,,,,,,,,,,,,100,100,100,100,,,,,,,,,99,99,100,100,,,,,,,,,,,,,,,,,,,,,50,54,100,100,,,,,87,76,97,76,,,,,,,,,,,,,,,,,,,,,,,,,My age in years is,82,Male,Caucasian/White,,,,create a fake membership pass with an editing tool on her phone,bribe the security,,huddle to conserve energy,call the police,,check that the doors are locked,call the park rangers,,,slide some dog treats underneath the door,buy half of the tickets himself,,,
12/23/24 16:43,12/23/24 16:48,IP Address,100,330,TRUE,12/23/24 16:48,,,,,anonymous,EN,,,,,1,10,2,3,,,,,,,,,,,,,,,,,,,,,1,9,4,2,,,,,,,,,,,,,30,14,83,32,,,,,,,,,,,,,,,,,9,39,41,22,,,,,,,,,,,,,92,80,97,95,,,,,9,18,41,20,,,,,,,,,39,20,71,29,,,,,,,,,,,,,,,,,,,,,75,83,93,94,My age in years is,32,Male,Asian,,,steal a passing driver's car,,,throw disobedient passengers off the boat,,call the police,,,make loud noises,,grab Maria and hold her,break a window and climb into the house,buy half of the tickets himself,,,ask her boyfriend to postpone the dinner to next week
12/23/24 16:32,12/23/24 16:48,IP Address,100,987,TRUE,12/23/24 16:48,,,,,anonymous,EN,,,,,4,3,4,4,,,,,,,,,27,45,23,14,,,,,,,,,,,,,,,,,,,,,,,,,71,66,85,65,6,4,6,3,,,,,5,9,6,16,,,,,,,,,50,37,50,57,,,,,,,,,,,,,,,,,57,55,41,45,,,,,,,,,,,,,,,,,,,,,77,86,97,95,,,,,,,,,,,,,My age in years is,37,Male,Caucasian/White,,,try to convince a passing driver to trade cars,,try to find the backstage entrance,,,keep an eye on him,take her to his house but no further,slash the tires,make loud noises,,,slide some dog treats underneath the door,,,check through surveillance footage,
12/23/24 16:41,12/23/24 16:48,IP Address,100,466,TRUE,12/23/24 16:48,,,,,anonymous,EN,,,,,,,,,7,9,49,10,,,,,,,,,10,8,50,20,,,,,,,,,19,10,51,20,,,,,,,,,19,39,62,51,,,,,2,1,16,3,,,,,,,,,,,,,7,19,8,21,,,,,,,,,,,,,,,,,,,,,,,,,30,71,82,75,,,,,,,,,,,,,9,8,51,19,,,,,,,,,,,,,My age in years is,61,Female,Caucasian/White,,,,wait at her car in case her friend is looking for her,try to buy a ticket off another person,,boost morale with a three-legged race,wave to the parents,yell in gibberish until she leaves,,pretend to be dead,,,,buy half of the tickets himself,,identify faults or malfunctions,
12/23/24 16:43,12/23/24 16:48,IP Address,100,321,TRUE,12/23/24 16:48,,,,,anonymous,EN,,,,,,,,,,,,,0,12,100,23,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,90,52,92,69,,,,,,,,,97,81,95,88,,,,,,,,,,,,,,,,,18,69,88,83,,,,,,,,,,,,,10,11,0,0,,,,,,,,,,,,,71,73,100,55,,,,,100,100,100,100,,,,,,,,,My age in years is,57,Female,Caucasian/White,,,,send an Uber driver to pick up her wallet and ID,,throw disobedient passengers off the boat,,wave to the parents,,call emergency services,,give Todd her water,,break a window and climb into the house,,set the plane on autopilot and jump off with a parachute,identify the location in the building where the fire started,
12/23/24 16:45,12/23/24 16:49,IP Address,100,264,TRUE,12/23/24 16:49,,,,,anonymous,EN,0,0,0,0,,,,,51,96,100,100,,,,,0,9,0,0,,,,,,,,,,,,,,,,,0,0,0,0,,,,,0,0,0,0,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,82,62,82,73,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,My age in years is,45,Male,Caucasian/White,,NA,demand that the airline delays the flight,text her friend to wait for her,pretend that they are family members of the band to get into the venue,,throw away all of the food,call the police,,light a fire under the car,,,try to buy Maria candy at a store nearby,,,set the plane on autopilot and jump off with a parachute,,
12/23/24 16:44,12/23/24 16:49,IP Address,100,293,TRUE,12/23/24 16:49,,,,,anonymous,EN,83,89,87,77,,,,,53,42,65,48,,,,,,,,,50,40,25,44,,,,,,,,,72,34,76,50,,,,,,,,,30,49,44,52,,,,,,,,,,,,,55,28,65,50,,,,,,,,,,,,,,,,,88,74,89,74,,,,,,,,,,,,,,,,,,,,,,,,,71,79,66,58,,,,,,,,,,,,,,,,,My age in years is,63,Female,Caucasian/White,,,reschedule for a later flight,wait at her car in case her friend is looking for her,pretend that they are family members of the band to get into the venue,,boost morale with a three-legged race,tackle him and hold him down,,pour water on the car to cool it,,,tell the man to leave,,,just start to descend and hope to land on water,,
12/23/24 16:38,12/23/24 16:49,IP Address,100,638,TRUE,12/23/24 16:49,,,,,anonymous,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92,100,92,97,,,,,,,,,,,,,,,,,4,3,2,2,,,,,,,,,,,,,82,87,94,84,,,,,92,100,97,98,,,,,,,,,,,,,19,70,19,8,,,,,13,97,82,68,,,,,,,,,,,,,,,,,0,4,4,3,,,,,33,68,88,66,My age in years is,51,Male,Caucasian/White,,,,,,request supplies to be airdropped,,,steal whatever she has on her,,make loud noises,hike until she finds cell service,,call the fire brigade,offer a free drink for everyone who buys a ticket,,just conclude that it's the restaurant owner's own fault,ask her boyfriend to postpone the dinner to next week
12/23/24 16:44,12/23/24 16:49,IP Address,100,301,TRUE,12/23/24 16:49,,,,,anonymous,EN,,,,,7,27,0,0,,,,,39,28,79,60,,,,,,,,,0,2,0,0,,,,,81,65,79,72,,,,,,,,,48,41,51,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66,41,74,54,,,,,30,19,39,40,,,,,,,,,,,,,,,,,70,52,48,44,,,,,,,,,,,,,,,,,,,,,My age in years is,25,Female,Multiethnic,,,steal a passing driver's car,text her friend to wait for her,,serve engine fuel to the passengers,attempt to search for a water source,keep an eye on him,,,,hike until she finds cell service,try to buy Maria candy at a store nearby,,,hold on to the original flight route,,
12/23/24 16:44,12/23/24 16:49,IP Address,100,328,TRUE,12/23/24 16:49,,,,,anonymous,EN,89,31,25,96,,,,,,,,,3,0,14,6,88,77,33,14,,,,,,,,,,,,,18,6,80,10,,,,,,,,,,,,,,,,,,,,,100,39,92,54,,,,,,,,,,,,,,,,,,,,,100,100,100,83,,,,,,,,,30,9,83,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,0,6,5,My age in years is,51,Female,Caucasian/White,,,take a public bus,send an Uber driver to pick up her wallet and ID,try to dress up as venue staff,,boost morale with a three-legged race,,,check that the doors are locked,,,grab Maria and hold her,call the fire brigade,,,,tie the kids up in their room and join the dinner
12/23/24 16:44,12/23/24 16:49,IP Address,100,339,TRUE,12/23/24 16:49,,,,,anonymous,EN,,,,,,,,,,,,,,,,,6,35,5,41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,0,0,0,,,,,,,,,,,,,8,76,90,100,,,,,,,,,,,,,,,,,14,7,100,29,,,,,,,,,56,30,46,83,,,,,83,86,100,100,,,,,16,86,100,100,,,,,4,54,100,100,My age in years is,28,Male,Caucasian/White,,great survey,,,try to find the backstage entrance,,,,turn invisible,,use a loud whistle,,,slide some dog treats underneath the door,ask people to donate the remaining money,send an emergency call,check for ignition devices,ask her boyfriend to help her babysit
12/23/24 16:37,12/23/24 16:50,IP Address,100,777,TRUE,12/23/24 16:50,,,,,anonymous,EN,,,,,,,,,,,,,,,,,55,33,32,75,,,,,,,,,66,35,67,57,,,,,,,,,71,36,54,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74,63,75,74,,,,,57,39,63,63,69,28,68,57,,,,,50,38,66,55,,,,,66,47,67,56,,,,,My age in years is,32,Female,Native Hawaiian or Pacific Islander,,n/a,,,bribe the security,serve engine fuel to the passengers,,stare intently and try to read his mind,,,,,,break a window and climb into the house,buy half of the tickets himself,send an emergency call,check through surveillance footage,tie the kids up in their room and join the dinner
12/23/24 16:39,12/23/24 16:50,IP Address,100,643,TRUE,12/23/24 16:50,,,,,anonymous,EN,95,83,78,89,,,,,26,29,21,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80,80,84,83,,,,,,,,,,,,,,,,,,,,,52,42,78,47,,,,,,,,,94,79,98,87,,,,,,,,,,,,,,,,,1,0,1,0,,,,,,,,,,,,,,,,,74,66,67,64,,,,,64,62,73,76,My age in years is,39,Male,Caucasian/White,,,call a taxi,create a fake membership pass with an editing tool on her phone,,,,wave to the parents,,,pretend to be dead,give Todd her water,,,rob a bank,,just conclude that it's the restaurant owner's own fault,take the kids to the restaurant
12/23/24 16:44,12/23/24 16:50,IP Address,100,331,TRUE,12/23/24 16:50,,,,,anonymous,EN,0,1,3,3,,,,,2,2,50,2,,,,,15,28,37,66,,,,,,,,,,,,,75,70,83,78,,,,,,,,,17,34,46,25,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,86,99,100,100,,,,,,,,,,,,,,,,,1,3,8,7,,,,,,,,,,,,,,,,,,,,,My age in years is,33,Female,Caucasian/White,,,demand that the airline delays the flight,call the gym,pretend that they are family members of the band to get into the venue,,huddle to conserve energy,stare intently and try to read his mind,,light a fire under the car,,,persuade Maria to wait for her father,,,just start to descend and hope to land on water,,
12/23/24 16:47,12/23/24 16:50,IP Address,100,162,TRUE,12/23/24 16:50,,,,,anonymous,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,0,0,0,0,,,,,74,88,83,93,0,0,0,0,,,,,,,,,0,9,0,0,,,,,,,,,,,,,,,,,,,,,16,29,65,24,,,,,,,,,,,,,0,0,0,0,My age in years is,35,Male,Caucasian/White,,,,,,throw disobedient passengers off the boat,,,take her to his house but no further,pour water on the car to cool it,make loud noises,get her arm stuck in solidarity,try to buy Maria candy at a store nearby,,,call his mum,,tie the kids up in their room and join the dinner
12/23/24 16:41,12/23/24 16:50,IP Address,100,559,TRUE,12/23/24 16:50,,,,,anonymous,EN,100,100,100,100,,,,,,,,,100,50,0,0,,,,,,,,,,,,,,,,,,,,,,,,,100,100,100,100,,,,,,,,,,,,,,,,,,,,,,,,,100,9,51,0,100,100,100,100,,,,,,,,,,,,,,,,,,,,,100,40,0,0,,,,,,,,,,,,,100,100,100,100,,,,,100,18,0,0,,,,,My age in years is,57,Male,Caucasian/White,,none,call a taxi,create a fake membership pass with an editing tool on her phone,,,,wave to the parents,,,start to dance,leave Todd to save herself,,,sell his wedding ring to earn the remaining amount,,identify faults or malfunctions,lie to her boyfriend that she forgot about the dinner and has made alternative plans
12/23/24 16:42,12/23/24 16:50,IP Address,100,465,TRUE,12/23/24 16:50,,,,,anonymous,EN,,,,,,,,,,,,,19,31,14,14,3,21,93,85,,,,,,,,,2,4,0,0,,,,,,,,,2,10,3,10,,,,,,,,,,,,,40,94,95,94,,,,,,,,,,,,,0,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,51,2,26,,,,,83,86,87,95,,,,,,,,,,,,,My age in years is,36,Female,Caucasian/White,,,,create a fake membership pass with an editing tool on her phone,give her ticket to Ted,serve engine fuel to the passengers,,tackle him and hold him down,,call emergency services,,get her arm stuck in solidarity,,,,hold on to the original flight route,check for ignition devices,
12/23/24 16:37,12/23/24 16:51,IP Address,100,815,TRUE,12/23/24 16:51,,,,,anonymous,EN,,,,,,,,,,,,,,,,,8,10,8,10,,,,,,,,,,,,,,,,,34,38,81,77,,,,,,,,,,,,,0,9,1,1,,,,,,,,,89,95,95,94,,,,,,,,,92,87,83,84,,,,,,,,,,,,,10,7,49,51,,,,,,,,,,,,,81,49,37,41,84,13,88,59,,,,,,,,,,,,,My age in years is,45,Male,Black/African,,thank you,,,pretend that they are family members of the band to get into the venue,,attempt to search for a water source,,steal whatever she has on her,,hide behind some bushes,hike until she finds cell service,,call a locksmith,,call his mum,check for ignition devices,
12/23/24 16:37,12/23/24 16:51,IP Address,100,802,TRUE,12/23/24 16:51,,,,,anonymous,EN,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,50,52,100,100,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,0,0,0,0,,,,,,,,,0,0,0,0,,,,,0,0,0,0,,,,,,,,,49,50,48,50,,,,,,,,,,,,,,,,,My age in years is,42,Male,Caucasian/White,,"No issues. I will say that the stories were a little extreme and am having a little trouble understanding why, if anyone would think some of these stories are normal reactions to the situations. If a friend were to get there arm stuck in something and were in danger, I am sure I would be a little upset and panicked if I were unable to help them but the one thing I am sure of is I would never think a good idea would be to also get my arm stuck as well, so we both are in danger. ",,steal the wallet of someone else,,request supplies to be airdropped,steal all of the food and water,,,,pretend to be dead,get her arm stuck in solidarity,,break a window and climb into the house,sell his wedding ring to earn the remaining amount,turn the plane around,,
12/23/24 16:48,12/23/24 16:51,IP Address,100,143,TRUE,12/23/24 16:51,,,,,anonymous,EN,,,,,,,,,,,,,,,,,,,,,55,37,27,40,42,48,34,46,,,,,48,34,44,36,,,,,69,14,73,57,,,,,,,,,,,,,,,,,,,,,51,30,47,38,,,,,,,,,,,,,,,,,,,,,,,,,41,49,39,50,,,,,,,,,,,,,,,,,16,43,34,47,,,,,47,34,44,37,,,,,My age in years is,38,Male,Asian,,none,,,bribe the security,throw disobedient passengers off the boat,steal all of the food and water,tackle him and hold him down,,,call the park rangers,,,call the fire brigade,,,identify faults or malfunctions,agree to babysit Ben's kids and be late to the dinner
12/23/24 16:46,12/23/24 16:51,IP Address,100,316,TRUE,12/23/24 16:51,,,,,anonymous,EN,100,100,100,100,,,,,,,,,,,,,,,,,,,,,0,9,0,0,,,,,,,,,100,100,100,100,9,6,12,6,,,,,,,,,100,100,100,100,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,100,100,100,100,,,,,,,,,,,,,,,,,,,,,30,51,40,60,,,,,My age in years is,42,Male,Asian,,,reschedule for a later flight,,,sell all the food to the highest bidder,try to find enough dry wood to start a fire,make cat noises at him until he leaves,call her a cab,,,get her arm stuck in solidarity,,,offer a free drink for everyone who buys a ticket,,,ask her boyfriend to postpone the dinner to next week
12/23/24 16:44,12/23/24 16:51,IP Address,100,447,TRUE,12/23/24 16:51,,,,,anonymous,EN,,,,,1,2,9,0,,,,,,,,,,,,,,,,,98,98,99,99,,,,,,,,,,,,,,,,,80,92,98,91,,,,,,,,,,,,,100,99,100,100,,,,,92,94,96,97,,,,,2,20,5,6,,,,,,,,,,,,,,,,,,,,,14,20,67,4,25,22,9,6,,,,,,,,,,,,,,,,,,,,,My age in years is,64,Male,Caucasian/White,,,try to convince a passing driver to trade cars,,,ration their food,,keep an eye on him,,call emergency services,call the park rangers,leave Todd to save herself,,,offer a free drink for everyone who buys a ticket,set the plane on autopilot and jump off with a parachute,,
12/23/24 16:46,12/23/24 16:51,IP Address,100,324,TRUE,12/23/24 16:51,,,,,anonymous,EN,,,,,0,0,0,0,0,5,79,11,,,,,,,,,,,,,,,,,100,64,63,72,,,,,,,,,,,,,,,,,,,,,,,,,72,51,100,45,,,,,,,,,,,,,,,,,,,,,,,,,100,100,100,100,5,9,43,10,,,,,,,,,,,,,,,,,100,100,100,100,100,100,100,100,,,,,,,,,,,,,My age in years is,37,Male,Hispanic/Latinx,,,steal a passing driver's car,send an Uber driver to pick up her wallet and ID,,request supplies to be airdropped,,,,ask to use the mall’s loudspeaker,,,persuade Maria to wait for her father,call the family to tell them he can't dogsit anymore,,turn the plane around,identify faults or malfunctions,
12/23/24 16:47,12/23/24 16:51,IP Address,100,271,TRUE,12/23/24 16:51,,,,,anonymous,EN,,,,,,,,,,,,,,,,,,,,,31,58,31,60,,,,,,,,,,,,,,,,,9,5,51,8,,,,,,,,,,,,,,,,,0,1,0,0,38,55,52,56,,,,,,,,,6,68,28,51,0,0,0,0,,,,,61,67,51,55,,,,,,,,,,,,,,,,,,,,,100,100,93,100,,,,,,,,,,,,,My age in years is,25,Female,Caucasian/White,,,,,try to find the backstage entrance,,,stare intently and try to read his mind,,light a fire under the car,use a loud whistle,yell at Todd for getting stuck,kidnap Maria,find other people to help him ram the door,,,talk to witnesses,
12/23/24 16:44,12/23/24 16:51,IP Address,100,418,TRUE,12/23/24 16:51,,,,,anonymous,EN,,,,,0,29,7,1,50,50,72,7,,,,,5,13,95,91,,,,,,,,,,,,,3,26,0,1,,,,,10,27,93,60,,,,,,,,,,,,,0,7,0,0,,,,,,,,,,,,,,,,,,,,,,,,,80,99,100,100,,,,,,,,,,,,,,,,,,,,,50,100,92,100,,,,,,,,,,,,,,,,,My age in years is,33,Female,Caucasian/White,,,try to convince a passing driver to trade cars,send an Uber driver to pick up her wallet and ID,try to buy a ticket off another person,,steal all of the food and water,call the police,,light a fire under the car,,,persuade Maria to wait for her father,,,hold on to the original flight route,,
12/23/24 16:46,12/23/24 16:52,IP Address,100,333,TRUE,12/23/24 16:52,,,,,anonymous,EN,100,100,100,100,,,,,0,0,0,0,,,,,,,,,,,,,0,0,0,0,,,,,84,18,67,47,,,,,,,,,,,,,,,,,53,62,34,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,12,5,1,,,,,94,76,96,100,,,,,,,,,,,,,40,57,70,60,My age in years is,27,Female,Caucasian/White,,,call a taxi,steal the wallet of someone else,,serve engine fuel to the passengers,attempt to search for a water source,,turn invisible,,,,,,sell his wedding ring to earn the remaining amount,turn the plane around,,ask her boyfriend to postpone the dinner to next week
12/23/24 16:44,12/23/24 16:52,IP Address,100,454,TRUE,12/23/24 16:52,,,,,anonymous,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,62,85,68,,,,,,,,,,,,,,,,,2,2,57,9,,,,,,,,,,,,,0,3,2,1,,,,,2,2,2,2,,,,,,,,,,,,,,,,,0,6,9,7,,,,,1,2,26,5,,,,,,,,,,,,,3,80,100,84,2,2,4,5,,,,,My age in years is,60,Male,Caucasian/White,,it was fine,,,,organize a few fishing crews to go out on their own,,,take her to his house but no further,,hide behind some bushes,saw Todd's arm off,,call the fire brigade,ask people to donate the remaining money,,identify the location in the building where the fire started,agree to babysit Ben's kids and be late to the dinner
12/23/24 16:39,12/23/24 16:52,IP Address,100,760,TRUE,12/23/24 16:52,,,,,anonymous,EN,,,,,,,,,,,,,,,,,32,71,60,40,,,,,,,,,5,79,3,17,,,,,,,,,,,,,,,,,,,,,17,65,13,78,67,70,86,69,,,,,,,,,,,,,,,,,9,71,6,68,99,100,100,92,,,,,,,,,83,74,63,74,,,,,,,,,,,,,54,62,85,89,,,,,,,,,,,,,,,,,My age in years is,77,Female,Caucasian/White,,,,,try to find the backstage entrance,sell all the food to the highest bidder,,,turn invisible,ask to use the mall’s loudspeaker,,yell at Todd for getting stuck,tell the man to leave,break a window and climb into the house,,call his mum,,
